title,price,reviews,star_rating,url,image
Emryn 81.5'' Wide Modern and Super Soft Faux Leather Manual Reclining Sofa with Wide Backrest,$699.99,(227),4.5,https://www.wayfair.com/furniture/pdp/red-barrel-studio-emryn-815-wide-modern-and-super-soft-faux-leather-manual-reclining-sofa-with-wide-backrest-cxva1519.html?piid=101672670,https://assets.wfcdn.com/im/50192313/resize-h400-w400%5Ecompr-r85/2372/237258360/Emryn+81.5%27%27+Wide+Modern+and+Super+Soft+Faux+Leather+Manual+Reclining+Sofa+with+Wide+Backrest.jpg
"Ansela 77.2"" Genuine Leather Square Arm 3-Seat Sofa","$1,130.00",(46),4.5,https://www.wayfair.com/furniture/pdp/lark-manor-ansela-772-genuine-leather-square-arm-3-seat-sofa-kthm4215.html?piid=82749506,https://assets.wfcdn.com/im/00747517/resize-h400-w400%5Ecompr-r85/2854/285435221/Ansela+77.2%22+Genuine+Leather+Square+Arm+3-Seat+Sofa.jpg
Ray 88'' Upholstered Sofa,"$5,982.00",(633),4.5,https://www.wayfair.com/furniture/pdp/noir-ray-sofa-nxr10964.html?auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/94394489/resize-h400-w400%5Ecompr-r85/2901/290127825/Ray+88%27%27+Upholstered+Sofa.jpg
Bobur 80.3'' Faux Leather Sofa,$359.99,(223),4.5,https://www.wayfair.com/furniture/pdp/wade-logan-bobur-81-faux-leather-flared-arm-removable-cushion-sofa-w000124095.html?piid=1113141727&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/35086373/resize-h400-w400%5Ecompr-r85/2839/283903386/Bobur+80.3%27%27+Faux+Leather+Sofa.jpg
Saneela 84.6'' Wide Breathable Leather Pillow Top Arm Power Reclining Sofa with Diamond Stitching,$939.99,(2),4.5,https://www.wayfair.com/furniture/pdp/red-barrel-studio-saneela-846-wide-breathable-leather-pillow-top-arm-power-reclining-sofa-with-diamond-stitching-w110225074.html?piid=725609836&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/99738245/resize-h400-w400%5Ecompr-r85/2440/244048075/Saneela+84.6%27%27+Wide+Breathable+Leather+Pillow+Top+Arm+Power+Reclining+Sofa+with+Diamond+Stitching.jpg
Fardin 87'' Leather Sofa,"$4,299.99",(68),4.0,https://www.wayfair.com/furniture/pdp/wildon-home-fardin-86-genuine-leather-square-arm-sofa-inlv1140.html?piid=35667617&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/92635754/resize-h400-w400%5Ecompr-r85/2596/259619328/Fardin+87%27%27+Leather+Sofa.jpg
"Comfy Leather Sleeper Sectional Sofa with Convertible Leather Sectional Sofa Bed & Inviting Chaise, Pull out couch",$669.99,(65),4.5,https://www.wayfair.com/furniture/pdp/latitude-run-comfy-leather-sleeper-sectional-sofa-with-convertible-leather-sectional-sofa-bed-inviting-chaise-pull-out-couch-w110612361.html?piid=1010203223,https://assets.wfcdn.com/im/27972445/resize-h400-w400%5Ecompr-r85/2789/278916885/Comfy+Leather+Sleeper+Sectional+Sofa+with+Convertible+Leather+Sectional+Sofa+Bed+%26+Inviting+Chaise%2C+Pull+out+couch.jpg
Keyia 83.5'' Breathable Leather Power Reclining with LED and Reading Lighting Sofa,$909.99,(142),4.5,https://www.wayfair.com/furniture/pdp/red-barrel-studio-keyia-835-breathable-leather-power-reclining-with-led-lighting-sofa-w111165900.html,https://assets.wfcdn.com/im/34476981/resize-h400-w400%5Ecompr-r85/2681/268178187/Keyia+83.5%27%27+Breathable+Leather+Power+Reclining+with+LED+and+Reading+Lighting+Sofa.jpg
"3-Pieces 210"" Breathing Leather Power Reclining Theater Sectional With LED Lighting","$1,699.99",(118),4.5,https://www.wayfair.com/furniture/pdp/ivy-bronx-3-pieces-210-breathing-leather-power-reclining-theater-sectional-with-led-lighting-w112146471.html?piid=1139162401,https://assets.wfcdn.com/im/00974345/resize-h400-w400%5Ecompr-r85/3052/305216607/3-Pieces+210%22+Breathing+Leather+Power+Reclining+Theater+Sectional+With+LED+Lighting.jpg
Anorea 83'' Genuine Leather Channel Tufted Sofa,$566.66,(17),5.0,https://www.wayfair.com/furniture/pdp/wade-logan-anorea-83-genuine-leather-channel-tufted-sofa-kthm3108.html?piid=87055346,https://assets.wfcdn.com/im/16638298/resize-h400-w400%5Ecompr-r85/2645/264548215/Anorea+83%27%27+Genuine+Leather+Channel+Tufted+Sofa.jpg
Alvon 3 Piece Power Reclining Faux Leather with LED Light Living Room Set Reading lamp/Wireless Charging/Hide-Away Storage,"$1,160.00",(4),5.0,https://www.wayfair.com/furniture/pdp/latitude-run-alvon-3-pieces-of-storage-arm-vegan-leather-power-reclining-sofa-set-with-lighting-w110373397.html,https://assets.wfcdn.com/im/26060916/resize-h400-w400%5Ecompr-r85/2867/286733835/Alvon+3+Piece+Power+Reclining+Faux+Leather+with+LED+Light+Living+Room+Set+Reading+lamp%2FWireless+Charging%2FHide-Away+Storage.jpg
Genuine Leather Standard sofa cushion couch,"$2,139.99",(28),5.0,https://www.wayfair.com/furniture/pdp/prime-electrons-genuine-leather-standard-sofa-cushion-couch-pimh1022.html?piid=105275523%2C105275525,https://assets.wfcdn.com/im/32704829/resize-h400-w400%5Ecompr-r85/3066/306691119/Genuine+Leather+Standard+sofa+cushion+couch.jpg
